"lang"	"left_context"	"center"	"right_context"	"title"
"1"	"rus"	" Они ее подхватили когда она"	"долетела"	" до второго этажа"	"[Зура Итсмиолорд. Бумажные ангелы (2009) | Зура Ітсміолорд. Паперові янголи (Галина Пагутяк, 2009)]"
"2"	"ukr"	" Вони підхопили її коли вона долетіла до другого поверху"	""	""	"[Зура Итсмиолорд. Бумажные ангелы (2009) | Зура Ітсміолорд. Паперові янголи (Галина Пагутяк, 2009)]"
"3"	"rus"	" Сажи никак и не может понять как малышка открыла дверь и вышла Таус молча вернулась"	"домой"	" Вечером в 21 00 по московскому времени в доме Таус Заремы и Сажи все часы показывали 20 50"	"[Зура Итсмиолорд. Бумажные ангелы (2009) | Зура Ітсміолорд. Паперові янголи (Галина Пагутяк, 2009)]"
"4"	"ukr"	" Сажі ніяк не може второпати як мала відчинила двері й вийшла Таус мовчки повернулась додому Увечері в 21 00 за московським часом в домі Таус Зареми та Сажі всі годинники показували 20 50"	""	""	"[Зура Итсмиолорд. Бумажные ангелы (2009) | Зура Ітсміолорд. Паперові янголи (Галина Пагутяк, 2009)]"
"5"	"rus"	" Когда вспыхнул первый из нас вокруг него еще была толпа почти сотня человек"	"добралась"	" до кают-компании прежде чем крышка захлопнулась"	"[Наталья Метелева. Ярь (2008) | Н. Метелева. Ярь (Наталія Дев'ятко, 2008)]"
"6"	"ukr"	" Коли спалахнув перший з нас навколо ще була юрба майже сотня людей дісталася до кают-компанії перш ніж накривка опустилася"	""	""	"[Наталья Метелева. Ярь (2008) | Н. Метелева. Ярь (Наталія Дев'ятко, 2008)]"
"7"	"rus"	" Когда до нас"	"дошло"	" что он сказал Янка дернулась ящеркой в сторону к стене"	"[Наталья Метелева. Ярь (2008) | Н. Метелева. Ярь (Наталія Дев'ятко, 2008)]"
"8"	"ukr"	" Коли до нас дійшло ЩО він сказав Янка смикнулася ящіркою вбік до стіни"	""	""	"[Наталья Метелева. Ярь (2008) | Н. Метелева. Ярь (Наталія Дев'ятко, 2008)]"
"9"	"rus"	" Банка наполнилась сдавленными смешками все тут же представили Владову ходьбу лёжа Сгинь"	"дозволил"	" тиран Остальным имеющим уши слушать сюда"	"[Наталья Метелева. Ярь (2008) | Н. Метелева. Ярь (Наталія Дев'ятко, 2008)]"
"10"	"ukr"	" Банка наповнилася задушеними смішками усі вмить уявили Владову ходьбу лежачи Згинь дозволив тиран Іншим що мають вуха слухати сюди"	""	""	"[Наталья Метелева. Ярь (2008) | Н. Метелева. Ярь (Наталія Дев'ятко, 2008)]"
