"lang"	"left_context"	"center"	"right_context"	"title"
"1"	"ukr"	" Зазвичай в одному будинку жила одна родина поступово"	"добудовуючи"	" кімнати"	"[Ігор Анцишкін. Житлово-комунальне господарство Нікополя (2009) | Игорь Анцышкин. Жилищно-коммунальное хозяйство Никополя (А. Е. Рудоманова, 2010)]"
"2"	"rus"	" Обычно в одном доме жила одна семья постепенно достраивая комнаты"	""	""	"[Ігор Анцишкін. Житлово-комунальне господарство Нікополя (2009) | Игорь Анцышкин. Жилищно-коммунальное хозяйство Никополя (А. Е. Рудоманова, 2010)]"
"3"	"ukr"	" Тут навіть високоповажним мешканцям кам яних будівель"	"доводилося"	" користуватися вигрібною ямою"	"[Ігор Анцишкін. Житлово-комунальне господарство Нікополя (2009) | Игорь Анцышкин. Жилищно-коммунальное хозяйство Никополя (А. Е. Рудоманова, 2010)]"
"4"	"rus"	" Здесь даже достопочтенным жителям каменных зданий приходилось пользоваться выгребной ямой"	""	""	"[Ігор Анцишкін. Житлово-комунальне господарство Нікополя (2009) | Игорь Анцышкин. Жилищно-коммунальное хозяйство Никополя (А. Е. Рудоманова, 2010)]"
"5"	"ukr"	" Йому єдиному поліція"	"дозволяла"	" п яному шпетити міського голову на всі заставки з передка своєї золотарської діжки"	"[Ігор Анцишкін. Житлово-комунальне господарство Нікополя (2009) | Игорь Анцышкин. Жилищно-коммунальное хозяйство Никополя (А. Е. Рудоманова, 2010)]"
"6"	"rus"	" Ему единственному полиция позволяла пьяному отчитывать городского председателя на все заставки из передка своей золотарской кадки"	""	""	"[Ігор Анцишкін. Житлово-комунальне господарство Нікополя (2009) | Игорь Анцышкин. Жилищно-коммунальное хозяйство Никополя (А. Е. Рудоманова, 2010)]"
"7"	"ukr"	" Пошта почала"	"доставляти"	" пенсії пенсіонерам до дому впроваджувалися передові методи праці з'явились послідовники Валентини Гаганової поштарі переходили з передових відділень зв'язку у відсталі щоб їх зміцнити"	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"8"	"rus"	" Почта начала доставлять пенсии пенсионерам на дом внедрялись передовые методы труда появились последователи Валентины Гагановой почтальоны переходили из передовых отделений связи в отсталые чтобы их укрепить"	""	""	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"9"	"ukr"	" 22 квітня 1962 р за"	"досягнуті"	" успіхи у змаганні за комуністичну працю колегія Міністерства зв'язку УРСР і Президія республіканського комітету працівників зв'язку робітників автотранспорту і шосейних доріг профспілка тоді була спільна присвоїла Нікопольській конторі звання Підприємство комуністичної праці"	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"10"	"rus"	" 22 апреля 1962 г за достигнутые успехи в соревновании за коммунистический труд коллегия Министерства связи УССР и Президиум республиканского комитета работников связи рабочих автотранспорта и шоссейных дорог профсоюз тогда был общим присвоила Никопольский конторе звания Предприятие коммунистического труда"	""	""	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"11"	"ukr"	" У 1970 р Нікопольський ВЗ нагороджений Дипломом ВЦРПС за"	"досягнуті"	" успіхи у галузі наукової організації праці"	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"12"	"rus"	" В 1970 г РУС награжден Дипломом ВЦРПС за достигнутые успехи в отрасли научной организации труда"	""	""	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"13"	"ukr"	" На двох люках обміну у транзитній коморі встановлені транспортери з висувною секцією що"	"дозволяло"	" проводити завантаження пошти безпосердньо у кузов машини"	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"14"	"rus"	" На двух люках обмена в транзитном амбаре установлены транспортеры с выдвижной секцией что позволяло проводить загрузку почты непосредственно в кузов машины"	""	""	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"15"	"ukr"	" У 1991 р вихідний обсяг по листувальній кореспонденції склав 4 992 400 од від посилок 1 384 000 од від грошових переказів 202 800 од пенсія виплачувалася 46 382 пенсіонерам міста і району"	"доставлялося"	" 7 941 200 екз газет часописів"	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"16"	"rus"	" В 1991 г исходный объем по почтовой корреспонденции составил 4 992 400 ед от посылок 1 384 000 ед от денежных переводов 202 800 ед пенсия выплачивалась 46 382 пенсионерам города и района доставлялось 7 941 200 экземпляров газет журналов"	""	""	"[Ігор Анцишкін. Пошта в Нікополі (2009) | Игорь Анцышкин. Почта в Никополе (А. Е. Рудоманова, 2010)]"
"17"	"ukr"	" Але як людина обов'язку вихована на етиці Канта"	"донести"	" вже майже фізіологічну огиду намагаюся чесно до читачів Дня останні новини наших телевізійних даруйте на слові гайд парків"	"[Ігор Лосєв. «Гайд-парк» для «піонерів» (2009) | Игорь Лосев. «Гайд-парк» для «пионеров» (2009)]"
"18"	"rus"	" Но как человек долга воспитанный на этике Канта преодолевая уже почти физиологическое отвращение стараюсь честно донести до читателей Дня последние изыски наших телевизионных извините за выражение гайд парков"	""	""	"[Ігор Лосєв. «Гайд-парк» для «піонерів» (2009) | Игорь Лосев. «Гайд-парк» для «пионеров» (2009)]"
"19"	"ukr"	" Приємне враження справили слова щирої вдячності звільнених із полону моряків Фаїни на адресу військовослужбовців американських бойових кораблів які постійно були поряд"	"допомагали"	" продовольством водою та медикаментами і тримали сомалійських джентльменів удачі під прицілом аби ті не робили дурниць"	"[Ігор Лосєв. «Гайд-парк» для «піонерів» (2009) | Игорь Лосев. «Гайд-парк» для «пионеров» (2009)]"
